time,open,high,low,close
1607083200,1.34685,1.34845,1.34552,1.34624
1607086800,1.34624,1.35077,1.34562,1.35027
1607090400,1.35027,1.35394,1.34845,1.35186
1607094000,1.35186,1.35222,1.34615,1.34733
1607097600,1.34733,1.34869,1.34639,1.34832
1607101200,1.34832,1.34908,1.34629,1.34728
1607104800,1.34728,1.34939,1.34686,1.34725
1607108400,1.34725,1.34802,1.34246,1.34434
1607112000,1.34434,1.34438,1.34199,1.34381
1607115600,1.34381,1.34433,1.34209,1.34287
1607292000,1.34091,1.3421,1.34008,1.3417
1607295600,1.3417,1.34217,1.34121,1.34148
1607299200,1.34148,1.34297,1.341,1.34259
1607302800,1.34259,1.34322,1.34204,1.343
